model,period,target,capacity,rows,selected,true_positives_selected,precision,recall,prevalence,lift
decile,2025-07,responded_strict,0.01,2025,21,2,0.09523809523809523,0.013333333333333334,0.07407407407407407,1.2857142857142858
decile,2025-07,responded_strict,0.02,2025,41,6,0.14634146341463414,0.04,0.07407407407407407,1.975609756097561
decile,2025-07,responded_strict,0.03,2025,61,10,0.16393442622950818,0.06666666666666667,0.07407407407407407,2.2131147540983607
decile,2025-07,responded_strict,0.04,2025,81,16,0.19753086419753085,0.10666666666666667,0.07407407407407407,2.6666666666666665
decile,2025-07,responded_strict,0.05,2025,102,18,0.17647058823529413,0.12,0.07407407407407407,2.382352941176471
decile,2025-07,responded_strict,0.06,2025,122,21,0.1721311475409836,0.14,0.07407407407407407,2.3237704918032787
decile,2025-07,responded_strict,0.07,2025,142,29,0.20422535211267606,0.19333333333333333,0.07407407407407407,2.757042253521127
decile,2025-07,responded_strict,0.08,2025,162,32,0.19753086419753085,0.21333333333333335,0.07407407407407407,2.6666666666666665
decile,2025-07,responded_strict,0.09,2025,183,32,0.17486338797814208,0.21333333333333335,0.07407407407407407,2.360655737704918
decile,2025-07,responded_strict,0.1,2025,203,35,0.1724137931034483,0.23333333333333334,0.07407407407407407,2.327586206896552
decile,2025-07,responded_strict,0.11,2025,223,40,0.17937219730941703,0.26666666666666666,0.07407407407407407,2.42152466367713
decile,2025-07,responded_strict,0.12,2025,243,45,0.18518518518518517,0.3,0.07407407407407407,2.5
decile,2025-07,responded_strict,0.13,2025,264,46,0.17424242424242425,0.30666666666666664,0.07407407407407407,2.3522727272727275
decile,2025-07,responded_strict,0.14,2025,284,49,0.17253521126760563,0.32666666666666666,0.07407407407407407,2.329225352112676
decile,2025-07,responded_strict,0.15,2025,304,51,0.16776315789473684,0.34,0.07407407407407407,2.2648026315789473
decile,2025-07,responded_strict,0.16,2025,324,53,0.16358024691358025,0.35333333333333333,0.07407407407407407,2.2083333333333335
decile,2025-07,responded_strict,0.17,2025,345,57,0.16521739130434782,0.38,0.07407407407407407,2.2304347826086954
decile,2025-07,responded_strict,0.18,2025,365,60,0.1643835616438356,0.4,0.07407407407407407,2.219178082191781
decile,2025-07,responded_strict,0.19,2025,385,64,0.16623376623376623,0.4266666666666667,0.07407407407407407,2.2441558441558445
decile,2025-07,responded_strict,0.2,2025,405,66,0.16296296296296298,0.44,0.07407407407407407,2.2
decile,2025-07,responded_strict,0.21,2025,426,67,0.1572769953051643,0.44666666666666666,0.07407407407407407,2.1232394366197185
decile,2025-07,responded_strict,0.22,2025,446,67,0.15022421524663676,0.44666666666666666,0.07407407407407407,2.0280269058295963
decile,2025-07,responded_strict,0.23,2025,466,71,0.15236051502145923,0.47333333333333333,0.07407407407407407,2.0568669527896994
decile,2025-07,responded_strict,0.24,2025,486,73,0.15020576131687244,0.4866666666666667,0.07407407407407407,2.027777777777778
decile,2025-07,responded_strict,0.25,2025,507,73,0.14398422090729784,0.4866666666666667,0.07407407407407407,1.943786982248521
decile,2025-07,responded_strict,0.26,2025,527,75,0.14231499051233396,0.5,0.07407407407407407,1.9212523719165084
decile,2025-07,responded_strict,0.27,2025,547,81,0.1480804387568556,0.54,0.07407407407407407,1.9990859232175506
decile,2025-07,responded_strict,0.28,2025,567,84,0.14814814814814814,0.56,0.07407407407407407,2.0
decile,2025-07,responded_strict,0.29,2025,588,85,0.1445578231292517,0.5666666666666667,0.07407407407407407,1.9515306122448979
decile,2025-07,responded_strict,0.3,2025,608,87,0.14309210526315788,0.58,0.07407407407407407,1.9317434210526314
decile,2025-07,responded_strict,0.31,2025,628,88,0.14012738853503184,0.5866666666666667,0.07407407407407407,1.89171974522293
decile,2025-07,responded_strict,0.32,2025,648,91,0.1404320987654321,0.6066666666666667,0.07407407407407407,1.8958333333333337
decile,2025-07,responded_strict,0.33,2025,669,91,0.13602391629297458,0.6066666666666667,0.07407407407407407,1.836322869955157
decile,2025-07,responded_strict,0.34,2025,689,92,0.13352685050798258,0.6133333333333333,0.07407407407407407,1.802612481857765
decile,2025-07,responded_strict,0.35,2025,709,95,0.13399153737658676,0.6333333333333333,0.07407407407407407,1.8088857545839212
decile,2025-07,responded_strict,0.36,2025,729,98,0.13443072702331962,0.6533333333333333,0.07407407407407407,1.814814814814815
decile,2025-07,responded_strict,0.37,2025,750,100,0.13333333333333333,0.6666666666666666,0.07407407407407407,1.8
decile,2025-07,responded_strict,0.38,2025,770,106,0.13766233766233765,0.7066666666666667,0.07407407407407407,1.8584415584415583
decile,2025-07,responded_strict,0.39,2025,790,108,0.13670886075949368,0.72,0.07407407407407407,1.8455696202531648
decile,2025-07,responded_strict,0.4,2025,810,111,0.13703703703703704,0.74,0.07407407407407407,1.85
decile,2025-07,responded_strict,0.41,2025,831,111,0.13357400722021662,0.74,0.07407407407407407,1.8032490974729245
decile,2025-07,responded_strict,0.42,2025,851,112,0.13160987074030553,0.7466666666666667,0.07407407407407407,1.7767332549941248
decile,2025-07,responded_strict,0.43,2025,871,112,0.1285878300803674,0.7466666666666667,0.07407407407407407,1.7359357060849598
decile,2025-07,responded_strict,0.44,2025,891,114,0.12794612794612795,0.76,0.07407407407407407,1.7272727272727273
decile,2025-07,responded_strict,0.45,2025,912,115,0.12609649122807018,0.7666666666666667,0.07407407407407407,1.7023026315789476
